&
/0 $s @3
/1 $f @5
%
$10 /1 @1
$3 /2 @2
$10 /3 @3
$3 /3 @4
$1 /1 @5
$13 /3 @6
$10 /3 @7
$7 /3 @8
$6 /2 @9
$10 /1 @10
$3 /1 @11
$10 /2 @12
$12 /1 @13
$9 /2 @14
$7 /1 @15
$4 /3 @16
$3 /0 @17
$6 /3 @18
$11 /2 @19
$6 /2 @20
$1 /2 @21
$1 /3 @22
$2 /0 @23
$10 /0 @24
$5 /1 @25
$9 /0 @26
$4 /1 @27
$1 /2 @28
$13 /1 @29
$13 /2 @30
$4 /0 @31
$11 /0 @32
$1 /0 @33
$7 /0 @34
$5 /3 @35
$2 /2 @36
$2 /1 @37
$13 /0 @38
$7 /0 @39
$6 /1 @40
$5 /2 @41
$4 /0 @42
$12 /1 @43
$6 /1 @44
$0 /8 @45
$2 /1 @46
$1 /3 @47
$9 /3 @48
$5 /0 @49
$12 /2 @50
$8 /1 @51
$2 /2 @52
$3 /3 @53
$9 /1 @54
$12 /3 @55
$3 /1 @56
$8 /0 @57
$7 /2 @58
$11 /3 @59
$1 /0 @60
$9 /1 @61
$12 /3 @62
$6 /3 @63
$6 /0 @64
$2 /3 @65
$7 /2 @66
$8 /1 @67
$13 /2 @68
$8 /3 @69
$3 /2 @70
$7 /3 @71
$12 /2 @72
$13 /0 @73
$8 /2 @74
$13 /1 @75
$3 /0 @76
$12 /0 @77
$4 /3 @78
(0
$10 /1 @1
$3 /2 @2
$10 /3 @3
$3 /3 @4
$1 /1 @5
$13 /3 @6
$10 /3 @7
$7 /3 @8
$6 /2 @9
$10 /1 @10
$3 /1 @11
$10 /2 @12
$12 /1 @13
$9 /2 @14
(1
$10 /1 @1
$3 /2 @2
$10 /3 @3
$3 /3 @4
$1 /1 @5
$13 /3 @6
$10 /3 @7
$7 /3 @8
$6 /2 @9
$10 /1 @10
$3 /1 @11
$10 /2 @12
$12 /1 @13
$9 /2 @14
